 1  1-5.97094670E-03 2.01794508E-02-1.86204213E-01-5.69186492E-01-3.12467401E-01
 1  2-8.69680836E-02-1.73575914E-02-4.84542689E-03
 2  1 6.81847115E-01 4.78637546E-01-1.58255052E-01-1.22734892E-01-5.06861819E-02
 2  2-1.33332036E-02-2.59953237E-03-7.23963131E-04
 3  1 1.42954528E+00-1.84966991E+00 4.42833747E-01 8.40904141E-02 6.69755581E-02
 3  2 1.19310510E-02 3.36687719E-03 6.94884025E-04
 4  1-5.18878650E-01 1.59497754E+00-2.36869046E+00 1.13019200E+00 6.38326314E-02
 4  2 7.08880733E-02 3.62338001E-03 3.33115032E-03
 5  1-1.87196429E-01 6.09961534E-01-1.37514733E+00 2.27495270E+00-1.64087311E+00
 5  2 5.89963857E-02-5.89457266E-02-1.33411816E-04
 6  1 7.62994220E-02-2.45658974E-01 5.64950030E-01-1.19008384E+00 2.08191868E+00
 6  2-1.83476687E+00 1.68938134E-01-4.90880477E-02
 7  1-3.38842905E-02 1.08450310E-01-2.46670182E-01 5.22375121E-01-1.08231206E+00
 7  2 1.94258921E+00-1.85181488E+00 1.59320532E-01
 8  1-1.55011508E-02 4.95143740E-02-1.12026290E-01 2.34674002E-01-4.85885398E-01
 8  2 9.96843085E-01-1.78319439E+00 1.67099077E+00
