 1  1 1.38129311E+00-4.56871225E-01 1.44232774E-02-6.40826629E-02 8.10079317E-03
 1  2-5.29482837E-03
 2  1-2.51557777E+00 4.63245274E+00-2.64568186E+00 8.49875626E-01-2.57543867E-01
 2  2 4.21175305E-02
 3  1 1.33263486E+00-4.34969069E+00 5.86984658E+00-3.05640787E+00 8.65211946E-01
 3  2-1.80710099E-01
 4  1 7.73359503E-01-2.73812906E+00 5.26150082E+00-5.72308721E+00 2.29516906E+00
 4  2-3.16704187E-01
 5  1-4.85931594E-01 1.74666048E+00-3.70160453E+00 5.65203890E+00-5.12782424E+00
 5  2 1.41331120E+00
 6  1-2.89212039E-01 1.02724514E+00-2.16982005E+00 3.57505665E+00-4.45131401E+00
 6  2 2.96608626E+00
