 1  1 3.92030433E-01 3.15574626E-01-1.26870426E-02 3.92030433E-01 3.15574626E-01
 1  2 1.26870426E-02 7.85656312E-02 3.35340045E-02 4.85915947E-14
 2  1-4.27204551E-01-3.72380900E-01 2.41123878E-02 4.27204551E-01 3.72380900E-01
 2  2 2.41123878E-02 7.15408247E-14 6.24034283E-14 1.27484501E-02
 3  1-1.98966100E-01-7.48766620E-01 5.19679799E-02-1.98966100E-01-7.48766620E-01
 3  2-5.19679799E-02 2.49497243E-01 1.57482466E+00 7.54675865E-14
 4  1 6.80396685E-03-2.86905818E-03 1.86075877E-01 6.80396685E-03-2.86905818E-03
 4  2-1.86075877E-01 1.15301756E+00-9.98556090E-01-1.35895022E-13
 5  1 6.61581357E-01-1.06874530E+00-5.42218599E-02-6.61581357E-01 1.06874530E+00
 5  2-5.42218599E-02-2.04240044E-13 1.02858823E-13-5.74475947E-01
 6  1-8.74695027E-01 1.49769186E+00-3.43521537E-02-8.74695027E-01 1.49769186E+00
 6  2 3.43521537E-02-3.45574180E-02-1.31199186E+00 1.61622018E-14
 7  1 3.80214126E-01-2.37347028E-01-4.76814055E-01-3.80214126E-01 2.37347028E-01
 7  2-4.76814055E-01-1.72824882E-14 8.29265775E-15 4.21577838E-01
 8  1-1.11526090E-01 6.72484751E-01 8.17096132E-01-1.11526090E-01 6.72484751E-01
 8  2-8.17096132E-01-1.13898410E+00-2.06614839E-01 2.06779854E-13
 9  1 5.02677242E-01 5.66612005E-01 1.03605495E+00-5.02677242E-01-5.66612005E-01
 9  2 1.03605495E+00 1.32133624E-13-7.06439674E-14 1.97208727E+00
