 1  1-1.01980849E-02 2.30247467E-02-1.88524524E-01-5.68919654E-01-3.11650905E-01
 1  2-8.68672231E-02-1.73280666E-02-4.84028398E-03 4.40279432E-03-1.36589238E-03
 2  1 7.07640669E-01 4.85640497E-01-1.60270714E-01-1.24550649E-01-5.13118185E-02
 2  2-1.35172981E-02-2.63277052E-03-7.33932156E-04-5.63748344E-02 1.96853616E-02
 3  1 5.62279162E-01 3.85416970E-01-9.87897485E-02-5.66709064E-02-2.48076628E-02
 3  2-6.19565807E-03-1.26407175E-03-3.38638195E-04-1.35183190E+00 5.07723828E-02
 4  1 2.31609957E-01 2.55041029E-01-5.97361818E-02-2.79724954E-02-1.31355884E-02
 4  2-3.12694531E-03-6.67002591E-04-1.72190122E-04-1.37983002E+00 1.55803062E+00
 5  1 2.49503608E+00-2.01565602E+00 3.92987890E-01 1.04192299E-01 6.33427491E-02
 5  2 1.28738775E-02 3.18718007E-03 7.28803256E-04-1.64300148E+00 6.07686260E-01
 6  1-9.63673300E-01 1.86287643E+00-2.44815438E+00 1.13358174E+00 6.60437653E-02
 6  2 7.03504025E-02 3.72664032E-03 3.30943642E-03 4.27756184E-01-1.33968829E-01
 7  1-3.32583209E-01 7.02721466E-01-1.42530393E+00 2.29372240E+00-1.64342809E+00
 7  2 5.88009847E-02-5.89003112E-02-1.41844334E-04 1.46362660E-01-4.57769850E-02
 8  1 1.34141422E-01-2.81277842E-01 5.84190527E-01-1.20005009E+00 2.08609249E+00
 8  2-1.83549486E+00 1.68904662E-01-4.90813123E-02-5.92872127E-02 1.85641378E-02
 9  1-5.94299670E-02 1.23984174E-01-2.54865682E-01 5.26592052E-01-1.08447788E+00
 9  2 1.94354420E+00-1.85200333E+00 1.59317876E-01 2.63108539E-02-8.24202859E-03
10  1 2.71717748E-02-5.65843934E-02 1.15721894E-01-2.36540416E-01 4.86830620E-01
10  2-9.97322731E-01 1.78340506E+00-1.67103333E+00-1.20359560E-02 3.77084157E-03
