 1  1 2.17899337E-03 8.92242611E-03 4.50120984E-02 2.04559504E-03 2.18880556E-01
 1  2-1.17089715E+00
 2  1-1.08977706E-02 4.23876226E-02 4.13456557E-01 3.35436161E-03-1.94188812E+00
 2  2 1.25502930E+00
 3  1-2.93387407E-01-1.37550380E-01 1.49880883E+00 1.14929699E-02-8.67164693E-01
 3  2 3.87742435E-01
 4  1 8.14802197E-02 1.23681082E+00-2.45990353E-01-2.43150767E-01-2.45904846E-01
 4  2 1.03771670E-01
 5  1 1.19047366E+00-4.81062194E-02-5.58149606E-01 1.02210970E-02 2.87324440E-01
 5  2-1.29548780E-01
 6  1-3.93456302E-02 7.02732645E-01-6.79604104E-02-1.29646928E+00-8.22587136E-02
 6  2 3.48087211E-02
