 1  1 9.98742288E-01 7.27706080E-03-9.00459951E-04-4.29347473E-03 1.11401699E-03
 1  2 6.52438158E-03-5.73227139E-04-2.26617240E-03
 2  1-1.11100494E-01 9.71580953E-02-2.98519415E-02 7.83101147E-02 5.10093333E-02
 2  2 5.62255406E-01 4.35810626E-01-1.74053824E-02
 3  1-1.35459420E-01 2.17879373E-01 8.96755503E-01-4.80090033E-02-2.18326208E-01
 3  2-8.55023582E-02-3.10785117E-01 1.05244000E-03
 4  1-2.25554343E-02 1.14287012E+00-1.64579129E+00-2.77955117E-02-9.36118638E-01
 4  2 8.70299255E-02 7.37542360E-01-3.86904617E-03
 5  1 8.39904358E-02 1.84960616E+00-4.44689712E-01 6.12260240E-02 1.44375926E+00
 5  2-9.51667013E-02-1.80859811E+00-8.43755532E-03
 6  1 1.08730445E-01-2.36285372E-03 5.34148596E-01 3.87392495E-01-5.26437976E-02
 6  2 1.09990159E+00-1.53477363E+00-4.85166287E-02
 7  1 7.65308697E-02 3.23610216E-01 3.00234273E-01-1.12076413E+00 1.11859909E+00
 7  2 6.29780635E-01-1.27188341E+00 9.85647104E-02
 8  1 4.44556635E-02 4.20645621E-01-1.01562104E-01 3.80752237E-01 7.85547681E-02
 8  2 6.79139304E-03-3.78042222E-01 1.04582007E+00
