 1  1-1.01899006E-02 2.30196763E-02-1.88380892E-01-5.68946398E-01-3.11728866E-01
 1  2-8.68816721E-02-1.73307786E-02-4.84093594E-03 4.39875413E-03-1.36462153E-03
 2  1 6.99821286E-01 4.97938084E-01-1.62348948E-01-1.25692114E-01-5.18006676E-02
 2  2-1.36384793E-02-2.65724425E-03-7.40506115E-04-6.00579278E-02 2.04743630E-02
 3  1 5.42596205E-01 3.96617721E-01-1.00121474E-01-5.69675177E-02-2.49709284E-02
 3  2-6.22727035E-03-1.27194220E-03-3.40402225E-04-1.34783149E+00 5.48316415E-02
 4  1 2.14471688E-01 2.61971042E-01-6.05066637E-02-2.81010813E-02-1.32172914E-02
 4  2-3.14118920E-03-6.70906321E-04-1.72998933E-04-1.36415103E+00 1.55458437E+00
 5  1 2.50232718E+00-2.00759007E+00 3.88896134E-01 1.04157228E-01 6.28657674E-02
 5  2 1.28208582E-02 3.16286992E-03 7.25228485E-04-1.65890104E+00 6.16002500E-01
 6  1-9.65677798E-01 1.86494597E+00-2.44847992E+00 1.13317587E+00 6.60841248E-02
 6  2 7.03178266E-02 3.72715783E-03 3.30787660E-03 4.28777992E-01-1.34296934E-01
 7  1-3.32719643E-01 7.02925881E-01-1.42551490E+00 2.29383016E+00-1.64337822E+00
 7  2 5.87833662E-02-5.88962280E-02-1.42190131E-04 1.46427927E-01-4.57976723E-02
 8  1 1.34153807E-01-2.81297143E-01 5.84214918E-01-1.20008010E+00 2.08611608E+00
 8  2-1.83549089E+00 1.68901362E-01-4.90807700E-02-5.92931138E-02 1.85660079E-02
 9  1-5.94312746E-02 1.23986228E-01-2.54868341E-01 5.26595647E-01-1.08448273E+00
 9  2 1.94354806E+00-1.85200327E+00 1.59317574E-01 2.63114764E-02-8.24222586E-03
10  1 2.71719184E-02-5.65846192E-02 1.15722187E-01-2.36540812E-01 4.86831178E-01
10  2-9.97323394E-01 1.78340554E+00-1.67103337E+00-1.20360244E-02 3.77086323E-03
