 1  1-4.28984214E-02-1.86594063E-01 5.09521313E-01 1.04345769E-01 1.48319230E-02
 1  2 6.01190489E-01
 2  1 1.96240696E-02 1.24274651E-01-1.13749782E+00 1.41305016E-01 1.01260086E-02
 2  2 9.46805623E-01
 3  1-2.37347793E-02 4.40131445E-03-5.00398012E-01-1.11069715E+00-4.96349297E-02
 3  2 8.68725033E-01
 4  1 7.85059326E-01-7.37220052E-01 3.34006397E-01-3.94458299E-02 1.06413703E+00
 4  2-7.77020663E-01
 5  1 1.15225595E+00-1.18188512E+00 1.45353984E-02 1.35597500E-03-7.69649715E-01
 5  2 6.06101276E-01
 6  1 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
 6  2 0.00000000E+00
