 1  1-6.31922146E-02-1.76609542E-01 5.61736383E-01 9.75867026E-02 1.42282272E-02
 1  2 5.53759280E-01
 2  1 2.69826175E-02 1.03368098E-01-1.10000013E+00 1.66646251E-01 1.26302295E-02
 2  2 9.58351183E-01
 3  1-2.79072197E-02 1.19663183E-02-5.21348166E-01-1.10769883E+00-4.75272884E-02
 3  2 8.85150841E-01
 4  1-1.37024647E+00 1.36260053E+00-2.58516397E-01 3.02663931E-02-1.99800644E-01
 4  2 1.11702376E-01
 5  1 2.51318102E-01-3.05161887E-01-2.26929469E-01 2.69842802E-02-1.29806302E+00
 5  2 9.81126567E-01
 6  1 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
 6  2 0.00000000E+00
