 1  1 4.62906537E-01 6.10048096E-01 8.93651480E-03-7.68554026E-03 4.94772958E-03
 1  2 2.98011956E-03
 2  1-5.35660366E-02-1.36368212E-01 3.23341580E-01 9.93835428E-02 2.55623716E-01
 2  2 5.88630806E-01
 3  1-4.07634423E-02-1.45840064E-01 1.20316334E+00-1.01571425E-01-7.62659289E-02
 3  2-7.69917985E-01
 4  1 1.43535240E-02 3.74469907E-03 4.92345352E-01 1.11364626E+00 6.87539293E-02
 4  2-8.59593368E-01
 5  1-1.03679219E-02-7.01338430E-02-2.71693655E-01 7.40916381E-02-1.28454257E+00
 5  2 1.14099594E+00
 6  1 1.39333842E+00-1.39535830E+00 2.17500764E-01-1.39799276E-02-3.97627310E-02
 6  2 6.02815134E-02
