 1  1-4.28984214E-02-1.86594063E-01 5.09521312E-01 1.04345769E-01 1.48319231E-02
 1  2 6.01190490E-01
 2  1 1.96240700E-02 1.24274651E-01-1.13749782E+00 1.41305016E-01 1.01260086E-02
 2  2 9.46805622E-01
 3  1-2.37347795E-02 4.40131484E-03-5.00398013E-01-1.11069715E+00-4.96349297E-02
 3  2 8.68725034E-01
 4  1 7.85059348E-01-7.37220075E-01 3.34006397E-01-3.94458300E-02 1.06413702E+00
 4  2-7.77020651E-01
 5  1 1.15225593E+00-1.18188510E+00 1.45353920E-02 1.35597561E-03-7.69649736E-01
 5  2 6.06101292E-01
 6  1 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
 6  2 0.00000000E+00
